Provincia,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,Localidad
Buenos Aires,355,345,213,443,655,590,548,497,157,888
Capital Federal,48,48,48,48,48,48,48,48,48,48
Catamarca,7,3,1,23,57,29,31,33,48,167
Chaco,28,14,1,45,75,44,47,46,43,92
Chubut,13,11,15,13,38,31,54,31,49,90
Cordoba,181,89,5,172,344,277,310,292,73,540
Corrientes,21,9,1,12,70,39,51,45,55,78
Entre Rios,47,39,4,44,128,78,128,130,22,191
Formosa,13,3,0,16,42,16,30,59,23,63
Jujuy,20,15,0,44,45,28,36,39,44,159
La Pampa,10,18,13,50,47,31,69,68,60,89
La Rioja,13,22,1,29,36,14,35,53,16,91
Mendoza,30,18,28,77,128,118,74,106,19,207
Misiones,29,25,0,39,86,40,59,49,26,143
Neuquen,17,10,17,19,34,20,41,42,36,61
Rio Negro,23,12,21,45,65,55,52,80,69,160
Salta,32,19,1,86,88,43,54,70,67,139
San Juan,9,1,11,12,49,41,40,73,18,105
San Luis,10,7,9,20,41,28,41,88,18,217
Santa Cruz,5,5,7,9,16,15,17,11,22,27
Santa Fe,175,133,3,132,296,179,290,250,66,386
Santiago Del Estero,14,19,1,46,91,41,44,79,81,158
Tierra Del Fuego,3,2,2,2,6,5,3,3,4,16
Tucuman,30,9,1,20,89,70,60,50,15,116
